사업장명,도로명주소,지번주소,전화번호,업태구분명,영업상태명,인허가일자,좌표정보(X),좌표정보(Y),업종,착한업소,사랑상품권,위생등급,행정처분,latitude,longitude
서북면옥,서울특별시 광진구 자양로 199-1 (구의동),서울특별시 광진구 구의동 80-47 ,02 4578319,한식,영업/정상,1976-05-10,207471.153472131,449242.931984079,일반음식점,미등록,불가능,,없음,37.5454168,127.0853298
가람성,서울특별시 광진구 광나루로24길 22 (화양동),서울특별시 광진구 화양동 495-26번지 ,02 4449009,분식,영업/정상,1976-04-27,206685.852736958,449228.796631785,일반음식점,미등록,불가능,,없음,37.5452953,127.0764434
육일관,"서울특별시 광진구 자양로18길 15, 1층 (구의동)",서울특별시 광진구 구의동 252-35 1층 ,02 4575400,한식,영업/정상,1977-05-17,207380.463780592,448387.748170675,일반음식점,미등록,불가능,,없음,37.5377123,127.0842951
세꼬시마을,서울특별시 광진구 면목로 38 (군자동),서울특별시 광진구 군자동 472-1번지 ,02 4624242,일식,영업/정상,1977-07-15,206715.264661785,450582.951055768,일반음식점,미등록,불가능,,없음,37.557496,127.0767885
서울회관,서울특별시 광진구 뚝섬로52길 13 (자양동),서울특별시 광진구 자양동 637-0 ,02 4476613,한식,영업/정상,1978-12-21,206953.081816657,447676.267046039,일반음식점,미등록,가능,,없음,37.5313052,127.0794528
대구참막창중곡본점,"서울특별시 광진구 긴고랑로 34, 1층 (중곡동)",서울특별시 광진구 중곡동 244-3 ,02 4999849,한식,영업/정상,1979-06-12,206994.423262527,451181.829269476,일반음식점,미등록,불가능,,없음,37.5628897,127.0799536
부림정,서울특별시 광진구 뚝섬로 476-7 (자양동),서울특별시 광진구 자양동 52-2번지 ,02 4635455,한식,영업/정상,1979-05-19,205473.975692391,448241.083389279,일반음식점,미등록,가능,,없음,37.53640410000001,127.0627229
어머니감자탕,서울특별시 광진구 능동로 353 (중곡동),서울특별시 광진구 중곡동 163-22 ,02 4975753,한식,영업/정상,1979-11-01,207123.939054956,450990.441894505,일반음식점,미등록,가능,,없음,37.5611644,127.0814176
치킨뱅이,"서울특별시 광진구 능동로 297 (군자동,,20)","서울특별시 광진구 군자동 477-19 ,20 ",02 4981100,호프/통닭,영업/정상,1979-02-08,206884.950871245,450471.512045167,일반음식점,미등록,가능,,없음,37.5564907,127.0787079
화원정,서울특별시 광진구 동일로 172-8 (화양동),서울특별시 광진구 화양동 23-14 ,02 4620638,한식,영업/정상,1980-11-05,205900.977616673,449450.637048665,일반음식점,미등록,가능,,없음,37.5472994,127.0675638
금수산,"서울특별시 광진구 용마산로 13, 1층 (중곡동)",서울특별시 광진구 중곡동 117-33 1층 ,02 4577486,한식,영업/정상,1980-10-31,207714.29745342,450297.069528673,일반음식점,미등록,불가능,,없음,37.5549124,127.0880921
(주)장군갈비,서울특별시 광진구 용마산로 11 (중곡동),서울특별시 광진구 중곡동 117-11 ,02 4473479,식육(숯불구이),영업/정상,1980-05-02,207718.679442983,450280.656293604,일반음식점,미등록,불가능,,없음,37.5547645,127.0881415
미정,서울특별시 광진구 긴고랑로 102 (중곡동),서울특별시 광진구 중곡동 55-1번지 ,02 4567583,까페,영업/정상,1980-10-23,207583.051456074,450833.725385404,일반음식점,미등록,불가능,,없음,37.5597487,127.0866123
금문,서울특별시 광진구 자양로 93 (자양동),서울특별시 광진구 자양동 626-5 ,02 4538603,중국식,영업/정상,1980-04-22,207302.640237769,448192.416773257,일반음식점,미등록,가능,,없음,37.535953,127.0834126
