사업장명,도로명주소,지번주소,동,전화번호,업태구분명,영업상태명,인허가일자,업종,착한업소,사랑상품권,위생등급,행정처분,latitude,longitude,가격
서북면옥,서울특별시 광진구 자양로 199-1 (구의동),서울특별시 광진구 구의동 80-47,구의동,02 4578319,한식,영업/정상,1976-05-10,일반음식점,미등록,불가능,,없음,37.5454168,127.0853298,10000
가람성,서울특별시 광진구 광나루로24길 22 (화양동),서울특별시 광진구 화양동 495-26번지,화양동,02 4449009,분식,영업/정상,1976-04-27,일반음식점,미등록,불가능,,없음,37.5452953,127.0764434,8375
세꼬시마을,서울특별시 광진구 면목로 38 (군자동),서울특별시 광진구 군자동 472-1번지,군자동,02 4624242,일식,영업/정상,1977-07-15,일반음식점,미등록,불가능,,없음,37.557496,127.0767885,30500
대구참막창중곡본점,"서울특별시 광진구 긴고랑로 34, 1층 (중곡동)",서울특별시 광진구 중곡동 244-3,중곡동,02 4999849,한식,영업/정상,1979-06-12,일반음식점,미등록,불가능,,없음,37.5628897,127.0799536,17750
부림정,서울특별시 광진구 뚝섬로 476-7 (자양동),서울특별시 광진구 자양동 52-2번지,자양동,02 4635455,한식,영업/정상,1979-05-19,일반음식점,미등록,가능,,없음,37.5364041,127.0627229,14250
화원정,서울특별시 광진구 동일로 172-8 (화양동),서울특별시 광진구 화양동 23-14,화양동,02 4620638,한식,영업/정상,1980-11-05,일반음식점,미등록,가능,,없음,37.5472994,127.0675638,21500
싸리골,서울특별시 광진구 능동로 300 (능동),서울특별시 광진구 능동 276-4,능동,234369895,한식,영업/정상,1981-05-28,일반음식점,미등록,불가능,,없음,37.5564635,127.0794563,23750
애래향,"서울특별시 광진구 동일로76길 58 (중곡동,(1층))",서울특별시 광진구 중곡동 173-22번지 (1층),중곡동,02 4996607,중국식,영업/정상,1981-05-06,일반음식점,미등록,불가능,,없음,37.5679272,127.0817054,7750
강남찌개,서울특별시 광진구 능동로38길 3 (중곡동),서울특별시 광진구 중곡동 158-32,중곡동,02 4530551,한식,영업/정상,1983-02-14,일반음식점,미등록,가능,,없음,37.5578266,127.0802702,18500
능동국시,서울특별시 광진구 능동로35길 23 (군자동),서울특별시 광진구 군자동 474-2,군자동,02 4648877,분식,영업/정상,1983-11-05,일반음식점,미등록,가능,,없음,37.5569479,127.0776487,7250
